name,salary_from,salary_to,salary_currency,employer_name
Senior Frontend Developer / Старший фронтэнд разработчик,5000.0,10000.0,USD,Podscribe
Middle/Middle+ QA Engineer (Manual),,,,Честный знак.рф
Java-разработчик,,250000.0,RUR,Группа компаний Экзон
QA-инженер,,,,Utrace
Engineering Manager,450000.0,650000.0,RUR,Remokate
IT-рекрутер,170000.0,,RUR,СберПраво
Python-разработчик,,,,Бэнкс Софт Системс
Аналитик данных/Data Analyst/BI-аналитик,120000.0,150000.0,RUR,ЭстэйтЛига
ML Engineer (recommendations),,,,Звук
BI-аналитик (Senior),,395000.0,RUR,LIAN
BI аналитик (fintech),,,,АйтиСФ
Инженер технической поддержки,80000.0,120000.0,RUR,RB DATA Group
Quantitative Researcher in Trading,,15000.0,USD,Intella
Руководитель команды разработки,,,,Xello
Senoir Java Engineer,360000.0,,RUR,Фаззи Лоджик Лабс
AI/Prompt engineer,87000.0,130000.0,RUR,LeadsUp
Инженер backend,80000.0,250000.0,RUR,Ии Консалтинг
Data инженер DWH/ETL разработчик,,,,Neoflex
Data Engineer,,,,Clear Mind
"Аналитик в AI сервис товарных рекомендаций (RecSys, SaaS)",70000.0,90000.0,RUR,Any
ML-инженер,,330000.0,RUR,LIAN
Data Scientist (Кипр),4000.0,,EUR,Топассистент
Аналитик данных BI (Tableau),,,,Спортмастер
Продуктовый маркетолог,,,,Oxygen Data Centers & Clouds
Бизнес аналитик,,,,Rubytech
Middle+ QA Automation Engineer,,,,Честный знак.рф
Junior Data Scientist / ML-инженер,,80000.0,RUR,Сеть розничных магазинов Добрынинский. Кондитерская и гастрономия.
Data Engineer на поддержку проекта,,,,GlowByte
Junior Data инженер,,200000.0,RUR,ИЦ АЙ-ТЕКО
Дата инженер/Инженер по обработке данных (Middle),200000.0,,RUR,Стрит Фалькон
Бизнес-аналитик (GigaCode),,,,SberTech
Аналитик количественных данных (в трейдинге),,,,Insolvent Capital
Рекрутер / Аналитик (HR-tech),100000.0,120000.0,RUR,HR-Stalker
Стажер Data scientist (Проекты внедрения технологий ИИ),,,,СБЕР
Разработчик Инновационных Продуктов | Rocker Sciece IT,,,,Gybernaty
Аналитик данных,,,,VK
Data scientist (Computer Vision Engineer в промышленности),,,,Промышленные инновации
Python Developer (SberНадежность),,,,СБЕР
Data Quality Assurance/Инженер тестирования данных,,,,Криптонит
ML Engineer / ML-инженер,,,,Excdev
BI-аналитик,,,,TWIGA Communication Group
Количественный аналитик/трейдер,,,,Quanthill
Руководитель кросс-функциональной IT команды / Руководитель продуктовой разработки,,,,JuicyScore
